drug	0	1	2	3	4	5	6	7	8	9	brandred
estradiol_norethindrone_acetate	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	0.863636363636
ethinyl_estradiol;ethinyl_estradiol_levonorg	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	0.714285714286
atropine_sulf_hyoscyamine_sulf_pb_scop_hydro	Antichol/Antimuscarin/Antispas	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	0.137339055794
omega-3-acid_ethyl_esters	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	1.0
irbesartan	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	0.433962264151
eletriptan_hydrobromide	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	1.0
cefaclor	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	0.188559322034
ciprofloxacin_hydrochloride_hydrocortisone	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	1.0
belladonna_alkaloids_and_analgesics	Misc Therapeutic Agents	Urinary Anti-Infectives	Misc Therapeutic Agents	Urinary Anti-Infectives	Urinary Anti-Infectives	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Urinary Anti-Infectives	Misc Therapeutic Agents	0.262068965517
cpm_methscopolamine_nitrate_phenyleph_hcl	Antiallergic Agents	Antitussives/Cold Comb	Antitussives/Cold Comb	Antiallergic Agents	Antiallergic Agents	Antiallergic Agents	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.398230088496
tazarotene	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	0.947368421053
ropinirole_hydrochloride	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	0.18992248062
dm_hydrobrom_gg_pse_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.470833333333
mesalamine	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	0.676470588235
triazolam	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	0.175097276265
dicloxacillin_sodium	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	0.0385756676558
adapalene_benzoyl_peroxide	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	1.0
insulin_lispro__recombinant	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	1.0
insulin_aspart__recombinant	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	1.0
fluorometholone	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.5
aluminum_chloride	S/MM Misc, Astringents	S/MM Misc, Astringents	S/MM Misc, Astringents	S/MM Misc, Astringents	S/MM Misc, Astringents	S/MM Misc, Astringents	S/MM Misc, Astringents	S/MM Misc, Astringents	S/MM Misc, Astringents	S/MM Misc, Astringents	0.211538461538
allopurinol	Antigout Agents	Antigout Agents	Antigout Agents	Antigout Agents	Antigout Agents	Antigout Agents	Antigout Agents	Antigout Agents	Antigout Agents	Antigout Agents	0.0319715808171
fluorouracil	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	0.271028037383
lidocaine_prilocaine	Dental Agents	Dental Agents	Dental Agents	Dental Agents	Dental Agents	Dental Agents	Dental Agents	Dental Agents	Dental Agents	Dental Agents	0.410256410256
ciprofloxacin_ciprofloxacin_hydrochloride	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	0.763157894737
desvenlafaxine_succinate	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	0.809523809524
sitagliptin_phosphate	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	1.0
risperidone	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	0.275229357798
esterified_estrogens_methyltestosterone	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	0.333333333333
piroxicam	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	0.0845864661654
donepezil_hydrochloride	Parasympathomimetic	Parasympathomimetic	Parasympathomimetic	Parasympathomimetic	Parasympathomimetic	Parasympathomimetic	Parasympathomimetic	Parasympathomimetic	Parasympathomimetic	Parasympathomimetic	0.221621621622
urea	Keratolytic Agents S/MM	Emoll/Moist/Demul/Protect S/MM	Misc Therapeutic Agents	Misc Therapeutic Agents	Emoll/Moist/Demul/Protect S/MM	Misc Therapeutic Agents	Keratolytic Agents S/MM	Keratolytic Agents S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	0.417670682731
benazepril_hydrochloride	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	0.243902439024
misoprostol	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	0.44
cyanocobalamin	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	0.0478821362799
codeine_phos_phenyleph_hcl_promethazine_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.0532544378698
solifenacin_succinate	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	1.0
spacer__inhalation	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	0.0459770114943
hydrochlorothiazide_olmesartan_medoxomil	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	1.0
lactulose	Ammonia Detoxicants	Ammonia Detoxicants	Ammonia Detoxicants	Ammonia Detoxicants	Ammonia Detoxicants	Ammonia Detoxicants	Ammonia Detoxicants	Ammonia Detoxicants	Ammonia Detoxicants	Ammonia Detoxicants	0.0616740088106
isosorbide_mononitrate	Vasodilating Agents	Vasodilating Agents	Vasodilating Agents	Vasodilating Agents	Vasodilating Agents	Vasodilating Agents	Vasodilating Agents	Vasodilating Agents	Vasodilating Agents	Vasodilating Agents	0.160427807487
varicella_virus_vaccine	Vaccines	Vaccines	Vaccines	Vaccines	Vaccines	Vaccines	Vaccines	Vaccines	Vaccines	Vaccines	1.0
divalproex_sodium	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	0.317880794702
lisdexamfetamine_dimesylate	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	1.0
phentermine_hydrochloride	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	0.0377714825307
glyburide	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	0.158762886598
magnesium_sulfate_potassium_sulfate_sodium_s	Cath&Lax, Laxatives, Saline	Cath&Lax, Laxatives, Saline	Cath&Lax, Laxatives, Saline	Cath&Lax, Laxatives, Saline	Cath&Lax, Laxatives, Saline	Cath&Lax, Laxatives, Saline	Cath&Lax, Laxatives, Saline	Cath&Lax, Laxatives, Saline	Cath&Lax, Laxatives, Saline	Cath&Lax, Laxatives, Saline	1.0
methotrexate_sodium	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	0.156779661017
betamethasone_valerate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.0735294117647
baclofen	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	0.0335097001764
ampicillin	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	Antibiot, Penicillins	0.0322580645161
fluticasone_furoate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	1.0
famciclovir	Antivirals	Antivirals	Antivirals	Antivirals	Antivirals	Antivirals	Antivirals	Antivirals	Antivirals	Antivirals	0.421686746988
morphine_sulfate	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	0.228346456693
betamethasone_dipropionate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.0658436213992
na_phos__dibasic_na_phos__monobasic	Cath&Lax, Laxatives, Saline	Repl Preps, Phosphorus Preps	Cath&Lax, Laxatives, Saline	Repl Preps, Phosphorus Preps	Repl Preps, Phosphorus Preps	Repl Preps, Phosphorus Preps	Cath&Lax, Laxatives, Saline	Repl Preps, Phosphorus Preps	Repl Preps, Phosphorus Preps	Repl Preps, Phosphorus Preps	0.351063829787
fentanyl	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	0.20197044335
dextromethorphan_hydrobromide_guaifenesin	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.36948297604
olmesartan_medoxomil	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	1.0
levalbuterol_tartrate	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	1.0
cetirizine_hcl_pse_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.488888888889
latanoprost	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	0.333333333333
telithromycin	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	1.0
tiotropium_bromide	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	1.0
econazole_nitrate	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	0.203703703704
thyroid	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	0.258992805755
clotrimazole	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	0.361904761905
beclomethasone_dipropionate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.795454545455
budesonide_formoterol_fumarate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	1.0
benzoyl_peroxide	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	0.493710691824
aripiprazole	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	1.0
ramipril	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	0.261061946903
k_cl_na_bicarb_na_cl_na_sulf_peg	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	0.266666666667
enalapril_maleate	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	0.154761904762
digoxin	Cardiac, Cardiac Glycosides	Cardiac, Cardiac Glycosides	Cardiac, Cardiac Glycosides	Cardiac, Cardiac Glycosides	Cardiac, Cardiac Glycosides	Cardiac, Cardiac Glycosides	Cardiac, Cardiac Glycosides	Cardiac, Cardiac Glycosides	Cardiac, Cardiac Glycosides	Cardiac, Cardiac Glycosides	0.298440979955
sulfacetamide_sodium_sulfur	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	0.525547445255
glimepiride	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	0.122699386503
valdecoxib	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	1.0
levalbuterol_hydrochloride	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	0.348837209302
betamethasone_dipropionate__augmented	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.44
hydrocortisone_valerate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.405797101449
hydroxychloroquine_sulfate	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	0.0243902439024
apap_dichloralphenazone_isometheptene_mucate	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	0.106796116505
hydromorphone_hydrochloride	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	0.214285714286
hydrocortisone_acetate_pramoxine_hydrochlori	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.560747663551
azelaic_acid	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	0.576923076923
